MOO FairGrad  Max Epoch 15
Epoch   1  Train Loss 0.4769 94.78% Dev 0.5949574112892151 Test 0.6200588941574097
Epoch   2  Train Loss 0.2683 96.10% Dev 0.6075062155723572 Test 0.6290501356124878
Epoch   3  Train Loss 0.2239 96.27% Dev 0.6103551387786865 Test 0.6343336701393127
Epoch   4  Train Loss 0.1984 96.37% Dev 0.6372768878936768 Test 0.6587984561920166
Epoch   7  Train Loss 0.1405 96.76% Dev 0.641509473323822 Test 0.666454017162323
Epoch   8  Train Loss 0.1269 96.94% Dev 0.6481271386146545 Test 0.6663772463798523
Epoch  12  Train Loss 0.0920 97.49% Dev 0.6498779058456421 Test 0.6575050950050354
Epoch  14  Train Loss 0.0816 97.70% Dev 0.653053343296051 Test 0.667762815952301
BEST DEV 0: 0.653053343296051BEST TEST 0: 0.667762815952301
Epoch   1  Train Loss 3.0804 86.78% Dev 0.4188214838504791 Test 0.43095090985298157
Epoch   2  Train Loss 2.8681 89.21% Dev 0.47423046827316284 Test 0.4854907691478729
Epoch   3  Train Loss 4.1152 90.49% Dev 0.49889177083969116 Test 0.5109236836433411
Epoch   4  Train Loss 6.0584 90.98% Dev 0.5187111496925354 Test 0.5310817956924438
Epoch   5  Train Loss 8.9800 91.61% Dev 0.5352379083633423 Test 0.547744631767273
Epoch   6  Train Loss 12.5441 92.16% Dev 0.5415238738059998 Test 0.5515819191932678
Epoch   7  Train Loss 16.3325 92.56% Dev 0.5596986413002014 Test 0.57279372215271
Epoch   8  Train Loss 19.0823 92.93% Dev 0.5824835300445557 Test 0.5917059183120728
Epoch   9  Train Loss 21.2063 93.44% Dev 0.5973497033119202 Test 0.604931116104126
Epoch  10  Train Loss 23.3369 93.86% Dev 0.6034958362579346 Test 0.6148019433021545
Epoch  12  Train Loss 28.4189 94.16% Dev 0.6048459410667419 Test 0.6150694489479065
Epoch  13  Train Loss 30.6569 94.24% Dev 0.6088714003562927 Test 0.6229299902915955
Epoch  14  Train Loss 33.3325 94.29% Dev 0.6163758039474487 Test 0.6262841820716858
Epoch  15  Train Loss 36.5116 94.39% Dev 0.6231324076652527 Test 0.6347541213035583
