MOO FairGrad  Max Epoch 15
Epoch   1  Train Loss 0.4220 80.99% Dev 0.570579469203949 Test 0.5555333495140076
Epoch   2  Train Loss 0.2489 82.03% Dev 0.5912054777145386 Test 0.5731508135795593
Epoch   3  Train Loss 0.2148 82.17% Dev 0.611293375492096 Test 0.5967775583267212
Epoch   5  Train Loss 0.1707 82.44% Dev 0.6218072175979614 Test 0.5986335873603821
Epoch   6  Train Loss 0.1529 82.56% Dev 0.6257022619247437 Test 0.6058980822563171
Epoch  10  Train Loss 0.1012 83.08% Dev 0.6305490732192993 Test 0.601043164730072
Epoch  13  Train Loss 0.0793 83.36% Dev 0.633871853351593 Test 0.6056070327758789
BEST DEV 0: 0.633871853351593BEST TEST 0: 0.6056070327758789
Epoch   1  Train Loss 2.6656 87.83% Dev 0.36101198196411133 Test 0.3327251076698303
Epoch   2  Train Loss 2.1425 89.08% Dev 0.4599880278110504 Test 0.4388602674007416
Epoch   3  Train Loss 2.8757 90.46% Dev 0.4719260036945343 Test 0.44938820600509644
Epoch   4  Train Loss 3.5572 91.08% Dev 0.4876217544078827 Test 0.4689566195011139
Epoch   5  Train Loss 4.5225 91.63% Dev 0.5014850497245789 Test 0.47956401109695435
Epoch   7  Train Loss 7.2386 92.29% Dev 0.5213571190834045 Test 0.5033587217330933
Epoch   8  Train Loss 9.1359 92.64% Dev 0.5255091786384583 Test 0.5144712328910828
Epoch   9  Train Loss 11.3576 92.83% Dev 0.5380606651306152 Test 0.5265214443206787
Epoch  10  Train Loss 13.3677 93.13% Dev 0.5443397760391235 Test 0.5326836705207825
Epoch  12  Train Loss 17.1915 93.53% Dev 0.5459474325180054 Test 0.539785623550415
Epoch  13  Train Loss 18.7935 93.89% Dev 0.5592055320739746 Test 0.5514394044876099
Epoch  14  Train Loss 20.0834 94.08% Dev 0.5605441927909851 Test 0.5611284971237183
BEST DEV 1: 0.5605441927909851BEST TEST 1: 0.5611284971237183
Epoch   1  Train Loss 4.8416 85.67% Dev 0.3779279589653015 Test 0.3770531713962555
Epoch   2  Train Loss 3.3920 78.79% Dev 0.40367063879966736 Test 0.40365278720855713
Epoch   3  Train Loss 3.6916 81.22% Dev 0.4308113753795624 Test 0.43312862515449524
Epoch   4  Train Loss 4.2235 82.96% Dev 0.43617022037506104 Test 0.435588002204895
Epoch   5  Train Loss 4.5849 84.29% Dev 0.46278470754623413 Test 0.4625195264816284
Epoch   6  Train Loss 5.1117 85.57% Dev 0.4780171513557434 Test 0.48116588592529297
Epoch   8  Train Loss 6.4227 87.40% Dev 0.5014129281044006 Test 0.5038307905197144
Epoch  10  Train Loss 8.0322 88.83% Dev 0.5248051285743713 Test 0.5278663039207458
Epoch  11  Train Loss 9.2180 89.46% Dev 0.5284077525138855 Test 0.5335824489593506
Epoch  13  Train Loss 11.4060 90.27% Dev 0.5349063277244568 Test 0.5409992933273315
Epoch  14  Train Loss 12.8819 90.76% Dev 0.5442982912063599 Test 0.553502082824707
Epoch  15  Train Loss 14.0376 91.08% Dev 0.5453878045082092 Test 0.5509359240531921
BEST DEV 2: 0.5453878045082092BEST TEST 2: 0.5509359240531921
Epoch   1  Train Loss 6.3116 83.17% Dev 0.40248337388038635 Test 0.4032145142555237
Epoch   2  Train Loss 4.9453 76.99% Dev 0.4189779758453369 Test 0.41978323459625244
Epoch   3  Train Loss 5.4067 79.55% Dev 0.4455941617488861 Test 0.4462570250034332
Epoch   4  Train Loss 5.8460 81.37% Dev 0.46411019563674927 Test 0.4694419503211975
Epoch   5  Train Loss 6.5361 82.42% Dev 0.47427499294281006 Test 0.47977522015571594
Epoch   6  Train Loss 6.9875 83.64% Dev 0.487202912569046 Test 0.4913194477558136
Epoch   8  Train Loss 8.6496 85.38% Dev 0.49506163597106934 Test 0.5006204843521118
Epoch   9  Train Loss 9.4632 85.92% Dev 0.5094305872917175 Test 0.5149804353713989
Epoch  11  Train Loss 11.0819 87.19% Dev 0.5203236937522888 Test 0.5285364985466003
Epoch  12  Train Loss 11.6552 87.65% Dev 0.5213143825531006 Test 0.5293645262718201
Epoch  13  Train Loss 12.4584 87.99% Dev 0.5304120182991028 Test 0.5360993146896362
Epoch  14  Train Loss 13.0631 88.53% Dev 0.5358140468597412 Test 0.5427805781364441
Epoch  15  Train Loss 13.7928 89.47% Dev 0.5424149632453918 Test 0.5486180782318115
BEST DEV 3: 0.5424149632453918BEST TEST 3: 0.5486180782318115
Epoch   1  Train Loss 11.1851 85.21% Dev 0.5194886326789856 Test 0.5268493294715881
Epoch   6  Train Loss 42.4098 85.83% Dev 0.5217657089233398 Test 0.5293736457824707
Epoch   7  Train Loss 45.1529 86.41% Dev 0.5243480801582336 Test 0.5340830087661743
Epoch   8  Train Loss 46.5472 87.02% Dev 0.5320422053337097 Test 0.5411365628242493
Epoch   9  Train Loss 48.3922 87.44% Dev 0.5354454517364502 Test 0.5468090772628784
Epoch  10  Train Loss 51.4790 87.85% Dev 0.5393444895744324 Test 0.5480929017066956
Epoch  11  Train Loss 55.0162 88.17% Dev 0.5452277064323425 Test 0.5515403747558594
Epoch  12  Train Loss 55.3762 88.45% Dev 0.5483961701393127 Test 0.5561345219612122
Epoch  14  Train Loss 60.2539 88.89% Dev 0.5524763464927673 Test 0.5584220886230469
Epoch  15  Train Loss 62.5348 89.06% Dev 0.5531378388404846 Test 0.560434103012085
BEST DEV 4: 0.5531378388404846BEST TEST 4: 0.560434103012085
