MOO FairGrad  Max Epoch 15
Epoch   1  Train Loss 0.1507 81.25% Dev 0.5277435183525085 Test 0.5487741231918335
Epoch   2  Train Loss 0.0748 82.09% Dev 0.6476141810417175 Test 0.6559699177742004
Epoch   5  Train Loss 0.0544 82.45% Dev 0.6557628512382507 Test 0.6637630462646484
Epoch   7  Train Loss 0.0457 82.67% Dev 0.6642084717750549 Test 0.6746651530265808
Epoch  11  Train Loss 0.0324 83.06% Dev 0.6655112504959106 Test 0.6773969531059265
Epoch  15  Train Loss 0.0241 83.32% Dev 0.6676089763641357 Test 0.6721638441085815
BEST DEV 0: 0.6676089763641357BEST TEST 0: 0.6721638441085815
Epoch   1  Train Loss 3.7626 90.75% Dev 0.453544020652771 Test 0.45643889904022217
Epoch   2  Train Loss 3.8355 93.37% Dev 0.4981658160686493 Test 0.4975922703742981
Epoch   3  Train Loss 6.4775 94.49% Dev 0.5216423869132996 Test 0.5219659805297852
Epoch   4  Train Loss 9.8008 94.96% Dev 0.5288971066474915 Test 0.5268777012825012
Epoch   5  Train Loss 12.7046 95.32% Dev 0.5324134230613708 Test 0.5369206666946411
Epoch   7  Train Loss 18.4560 95.79% Dev 0.5487656593322754 Test 0.5546475052833557
Epoch   8  Train Loss 20.7866 95.91% Dev 0.5663174390792847 Test 0.5743680000305176
Epoch  10  Train Loss 24.4602 96.26% Dev 0.5731382966041565 Test 0.5787718892097473
Epoch  11  Train Loss 25.7364 96.30% Dev 0.5752652287483215 Test 0.5823209881782532
Epoch  12  Train Loss 27.3122 96.37% Dev 0.5819005370140076 Test 0.579197108745575
Epoch  13  Train Loss 29.0872 96.42% Dev 0.5867583155632019 Test 0.5852593183517456
Epoch  15  Train Loss 35.5481 96.53% Dev 0.5897163152694702 Test 0.5878797173500061
BEST DEV 1: 0.5897163152694702BEST TEST 1: 0.5878797173500061
Epoch   1  Train Loss 9.5599 89.43% Dev 0.4193015694618225 Test 0.43163055181503296
Epoch   2  Train Loss 5.7801 89.02% Dev 0.45754578709602356 Test 0.4681190848350525
Epoch   3  Train Loss 7.7375 91.18% Dev 0.4844644069671631 Test 0.4974227249622345
Epoch   4  Train Loss 9.9534 92.45% Dev 0.48976585268974304 Test 0.5061197280883789
Epoch   5  Train Loss 11.7670 93.22% Dev 0.49649298191070557 Test 0.5130229592323303
Epoch   6  Train Loss 14.7322 93.90% Dev 0.5137948989868164 Test 0.5236674547195435
Epoch   7  Train Loss 17.8893 94.43% Dev 0.5198606848716736 Test 0.5352886915206909
Epoch   8  Train Loss 20.0527 94.78% Dev 0.5317877531051636 Test 0.5441123247146606
Epoch   9  Train Loss 23.4705 95.31% Dev 0.5386696457862854 Test 0.5502035021781921
Epoch  10  Train Loss 26.7685 95.83% Dev 0.5442776679992676 Test 0.553134560585022
Epoch  11  Train Loss 28.6713 95.98% Dev 0.5521767139434814 Test 0.565345048904419
Epoch  12  Train Loss 31.9290 96.15% Dev 0.5581740736961365 Test 0.566548228263855
Epoch  13  Train Loss 34.1759 96.30% Dev 0.5657690763473511 Test 0.5756158232688904
Epoch  15  Train Loss 37.4583 96.49% Dev 0.5683882236480713 Test 0.5794059038162231
BEST DEV 2: 0.5683882236480713BEST TEST 2: 0.5794059038162231
Epoch   1  Train Loss 12.2107 89.23% Dev 0.4645638167858124 Test 0.4781789779663086
Epoch   2  Train Loss 12.4531 90.42% Dev 0.48685190081596375 Test 0.5015852451324463
Epoch   3  Train Loss 16.3916 91.89% Dev 0.49199068546295166 Test 0.5052493214607239
Epoch   4  Train Loss 20.1932 92.78% Dev 0.5026399493217468 Test 0.5151116847991943
Epoch   5  Train Loss 24.7977 93.78% Dev 0.5115385055541992 Test 0.5256436467170715
Epoch   6  Train Loss 30.0793 94.39% Dev 0.5284393429756165 Test 0.5397664308547974
Epoch   7  Train Loss 34.1314 94.62% Dev 0.5326231718063354 Test 0.5462630987167358
Epoch   8  Train Loss 39.0474 94.87% Dev 0.5368322134017944 Test 0.5481487512588501
Epoch   9  Train Loss 43.4368 95.01% Dev 0.5418310761451721 Test 0.549573540687561
Epoch  10  Train Loss 46.3467 95.20% Dev 0.5446137189865112 Test 0.5486050248146057
Epoch  13  Train Loss 55.8384 95.50% Dev 0.5478249192237854 Test 0.554916501045227
Epoch  14  Train Loss 59.3198 95.61% Dev 0.5499797463417053 Test 0.5502090454101562
Epoch  15  Train Loss 62.5051 95.67% Dev 0.5521406531333923 Test 0.5551891922950745
BEST DEV 3: 0.5521406531333923BEST TEST 3: 0.5551891922950745
Epoch   1  Train Loss 25.9847 92.42% Dev 0.47077956795692444 Test 0.4630928933620453
Epoch   2  Train Loss 66.4898 94.41% Dev 0.484666109085083 Test 0.47651207447052
Epoch   3  Train Loss 110.0845 94.61% Dev 0.501835823059082 Test 0.49621549248695374
Epoch   4  Train Loss 154.7311 94.71% Dev 0.5057366490364075 Test 0.5001645684242249
Epoch   5  Train Loss 206.2032 94.75% Dev 0.5062310695648193 Test 0.5078541040420532
Epoch   6  Train Loss 275.6659 94.73% Dev 0.5119298696517944 Test 0.5141090154647827
Epoch   7  Train Loss 392.3555 94.51% Dev 0.5202710032463074 Test 0.5185255408287048
Epoch  11  Train Loss 374.0113 94.83% Dev 0.522444486618042 Test 0.5224601030349731
Epoch  12  Train Loss 385.8981 95.00% Dev 0.5231545567512512 Test 0.5240088701248169
BEST DEV 4: 0.5231545567512512BEST TEST 4: 0.5240088701248169
